epoch,lr,loss,iou,dice,val_loss,val_iou,val_dice
0.0,0.001,0.11351040961718796,0.8891295321711178,0.93787421580395,0.28639845132827757,0.7846409089280039,0.8767328061737513
1.0,0.001,0.11287051427482378,0.891646447147822,0.939455882641051,0.2805179762840271,0.7853679108172102,0.8771052604734745
2.0,0.001,0.11337997370427198,0.8909044332704618,0.9391923735838091,0.28823070526123046,0.7794068909851734,0.8734491910707792
3.0,0.001,0.11372464523457064,0.8908441856879334,0.9391915410664188,0.2941243052482605,0.7780150244387231,0.8727422088627665
4.0,0.001,0.11135462009080566,0.8922424346098269,0.9400516564590045,0.2866457653045654,0.7812088169566249,0.874967639579361
5.0,0.001,0.11233027205608859,0.8905299273488503,0.9391453562772931,0.29036794662475585,0.7829682328435221,0.875635586048254
6.0,0.001,0.11018563497184526,0.8923434647087504,0.9401397457785782,0.2919306778907776,0.7776319793260518,0.8725621379439401
7.0,0.001,0.11626251735309563,0.8793662811536619,0.9317991573299287,0.29257345795631406,0.7780059697365443,0.8724625218318302
8.0,0.001,0.10940118195986984,0.8921556727310215,0.9399411695162708,0.2862047553062439,0.7834405424539004,0.8759551056600654
9.0,0.001,0.11000023189157543,0.8929006281761042,0.9404974340020635,0.2874049413204193,0.7778010084444176,0.8724531160932945
10.0,0.001,0.11301598017758663,0.8905548648717705,0.939286555816268,0.29340824484825134,0.7795464111909588,0.8740885433493573
11.0,0.001,0.1201716956525746,0.889243534943273,0.9383970207832839,0.2939772045612335,0.7664635322505704,0.8648564671764486
12.0,0.001,0.11755981209254501,0.8873077379041039,0.937393978434249,0.2869928002357483,0.7770335368264122,0.8725694706766476
13.0,0.001,0.1178665024219173,0.886407952243131,0.9369653871407154,0.2851041066646576,0.7789249742186746,0.8735561510103504
14.0,0.001,0.11529471862434161,0.8875454197031565,0.9376599652812377,0.2859581208229065,0.7810673045985389,0.8747536659371936
15.0,0.001,0.10994607440315851,0.8929447082452829,0.9406287809640248,0.2958418655395508,0.7666853190082437,0.8652754699569049
16.0,0.001,0.10853867793437277,0.8937920238094427,0.9410002212362013,0.28547086715698244,0.7733735300744042,0.8697495357887911
17.0,0.001,0.10388047285009139,0.8980309959680655,0.9435208646467833,0.284456707239151,0.7717232241303761,0.8687066983783336
18.0,0.001,0.11546796253412077,0.8856782179401538,0.9363797528544094,0.30239354372024535,0.7625877865211653,0.8631390588821006
19.0,0.001,0.1323544711759775,0.8714792555057121,0.928297482027187,0.2990608084201813,0.7638355207104562,0.8633759310610931
20.0,0.001,0.11883185907165603,0.8833067422391101,0.9349020869749519,0.2874943494796753,0.7784021113895656,0.8729666648680349
21.0,0.001,0.11512174889592841,0.8862324544204621,0.9367916840115382,0.28318066358566285,0.7822118579334252,0.875349242197598
22.0,0.001,0.10612330513425393,0.895712590601384,0.9420647074461431,0.2850426983833313,0.778224736091179,0.8726422300506164
23.0,0.001,0.10142146735498221,0.8999984780321991,0.9445478791664286,0.28567155957221985,0.780229356262937,0.8741513293159303
24.0,0.001,0.1047583004035572,0.8987431976309809,0.9438278585688017,0.29104398369789125,0.7717367643544946,0.8688112180479258
25.0,0.001,0.10841529714589072,0.8948040246663892,0.9416684231717958,0.28244162440299986,0.7845933929702104,0.8773734042620083
26.0,0.001,0.10221948715129701,0.8996322165203334,0.9443984679595221,0.281061931848526,0.784287903776821,0.8772231574327597
